session_id,agent_name,trial_id,mode,condition_id,scenario_id,map_id,policy_id,difficulty_level,evaluation_fixed_difficulty,agent_count,goal_min_distance,goal_max_distance,min_open_radius,start_x,start_z,start_yaw,target_x,target_z,target_straight_distance_m,random_seed,created_at_iso
"20260707_115743","go1",10,"evaluation","C1_NAVMESH_ONLY","S11","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.446959,3.672164,59.025390,4.935472,5.546769,3.960286,121,"2026-07-07T12:01:10.5157973+09:00"
"20260707_115743","go1",11,"evaluation","C1_NAVMESH_ONLY","S12","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.851683,4.896574,247.098500,5.842567,7.493282,4.761307,121,"2026-07-07T12:01:30.4860310+09:00"
"20260707_115743","go1",12,"evaluation","C1_NAVMESH_ONLY","S13","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.581133,2.953357,75.171620,6.449317,3.376356,4.886527,121,"2026-07-07T12:02:03.9188421+09:00"
"20260707_115743","go1",13,"evaluation","C1_NAVMESH_ONLY","S14","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.382030,4.405951,263.244700,4.793031,5.578833,3.607017,121,"2026-07-07T12:02:24.5520436+09:00"
"20260707_115743","go1",14,"evaluation","C1_NAVMESH_ONLY","S15","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.758814,3.148816,91.317850,2.497502,6.807022,3.732042,121,"2026-07-07T12:02:36.6195001+09:00"
"20260707_115743","go1",15,"evaluation","C1_NAVMESH_ONLY","S16","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.612797,3.938888,279.391000,6.422936,3.924432,4.810161,121,"2026-07-07T12:03:05.8008268+09:00"
"20260707_115743","go1",16,"evaluation","C1_NAVMESH_ONLY","S17","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,2.282230,4.089947,107.464100,3.723039,7.812167,3.991347,121,"2026-07-07T12:03:20.6506433+09:00"
"20260707_115743","go1",17,"evaluation","C1_NAVMESH_ONLY","S18","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.723822,3.603588,295.537200,2.687032,7.681941,4.190552,121,"2026-07-07T12:03:34.1013752+09:00"
"20260707_115743","go1",18,"evaluation","C1_NAVMESH_ONLY","S19","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.487978,2.505716,123.610300,4.529274,4.546533,3.662569,121,"2026-07-07T12:04:02.6351232+09:00"
"20260707_115743","go1",19,"evaluation","C1_NAVMESH_ONLY","S20","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,4.734125,3.135127,311.683400,5.064433,6.267169,3.149410,121,"2026-07-07T12:04:13.8998421+09:00"
"20260707_115743","go1",20,"evaluation","C1_NAVMESH_ONLY","S21","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.216710,2.218641,139.756500,4.999137,5.389874,4.935937,121,"2026-07-07T12:04:41.4417045+09:00"
"20260707_115743","go1",21,"evaluation","C1_NAVMESH_ONLY","S22","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,2.302610,2.977195,327.829700,4.587510,6.274951,4.011978,121,"2026-07-07T12:05:03.3869225+09:00"
"20260707_115743","go1",22,"evaluation","C1_NAVMESH_ONLY","S23","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.695577,2.800290,155.902800,4.102498,7.068984,4.900513,121,"2026-07-07T12:05:22.1201077+09:00"
